"SchemaName","TableName","FullName","TableRowCount","LastActivityDate","IsEmpty","LastWeek"
"Aktivitet","__MigrationHistory","Aktivitet.__MigrationHistory","9","","False",
"Aktivitet","AktivitetKnrs","Aktivitet.AktivitetKnrs","0","","True",
"Aktivitet","AktivitetMottakers","Aktivitet.AktivitetMottakers","0","","True",
"Aktivitet","Aktivitets","Aktivitet.Aktivitets","0","","True",
"Aktivitet","AktivitetSmsVannmålerpunktKobling","Aktivitet.AktivitetSmsVannmålerpunktKobling","0","","True",
"Aktivitet","ChangeLogs","Aktivitet.ChangeLogs","0","","True",
"Aktivitet","SmsPrioriterings","Aktivitet.SmsPrioriterings","2","","False",
"Aktivitet","SmsPrioriteringslistes","Aktivitet.SmsPrioriteringslistes","1","","False",
"Aktivitet","SmsTekstMals","Aktivitet.SmsTekstMals","1","","False",
"dbo","Aktivitet","dbo.Aktivitet","231983","","False",
"dbo","AktivitetFilData","dbo.AktivitetFilData","44300","","False",
"dbo","AktivitetForsendelseKnr","dbo.AktivitetForsendelseKnr","0","","True",
"dbo","AktivitetForsendelseKnrDokumentType","dbo.AktivitetForsendelseKnrDokumentType","6","","False",
"dbo","AktivitetForsendelseMal","dbo.AktivitetForsendelseMal","0","","True",
"dbo","AktivitetForsendelseStatus","dbo.AktivitetForsendelseStatus","2","","False",
"dbo","AktivitetKnr","dbo.AktivitetKnr","8155","","False",
"dbo","AktivitetKobletFagobjekt","dbo.AktivitetKobletFagobjekt","0","","True",
"dbo","AktivitetLogg","dbo.AktivitetLogg","31719","","False",
"dbo","AktivitetMal","dbo.AktivitetMal","70","","False",
"dbo","AktivitetMal_AktivitetMal_Klassering","dbo.AktivitetMal_AktivitetMal_Klassering","0","","True",
"dbo","AktivitetMal_Arkivdel","dbo.AktivitetMal_Arkivdel","0","","True",
"dbo","AktivitetMal_DokumentStatus","dbo.AktivitetMal_DokumentStatus","0","","True",
"dbo","AktivitetMal_Journalenhet","dbo.AktivitetMal_Journalenhet","0","","True",
"dbo","AktivitetMal_JournalStatus","dbo.AktivitetMal_JournalStatus","0","","True",
"dbo","AktivitetMal_JournalType","dbo.AktivitetMal_JournalType","0","","True",
"dbo","AktivitetMal_Klassering","dbo.AktivitetMal_Klassering","0","","True",
"dbo","AktivitetMal_KlasseringVerdi","dbo.AktivitetMal_KlasseringVerdi","0","","True",
"dbo","AktivitetMal_Saksstatus","dbo.AktivitetMal_Saksstatus","0","","True",
"dbo","AktivitetMal_Sakstype","dbo.AktivitetMal_Sakstype","0","","True",
"dbo","AktivitetMal_SkjermingOpphorerAksjon","dbo.AktivitetMal_SkjermingOpphorerAksjon","0","","True",
"dbo","AktivitetMal_Tilgangsrestriksjon","dbo.AktivitetMal_Tilgangsrestriksjon","0","","True",
"dbo","AktivitetMalKunde","dbo.AktivitetMalKunde","5","","False",
"dbo","AktivitetMalSpørring","dbo.AktivitetMalSpørring","16","","False",
"dbo","AktivitetMalSQL","dbo.AktivitetMalSQL","9","","False",
"dbo","AktivitetPerson","dbo.AktivitetPerson","0","","True",
"dbo","AktivitetPersonDokument","dbo.AktivitetPersonDokument","0","","True",
"dbo","AktivitetPersonLeveringsmetode","dbo.AktivitetPersonLeveringsmetode","3","","False",
"dbo","AktivitetPersonRolle","dbo.AktivitetPersonRolle","4","","False",
"dbo","AktivitetPurring","dbo.AktivitetPurring","0","","True",
"dbo","AktivitetPurringerKnr","dbo.AktivitetPurringerKnr","0","","True",
"dbo","AktivitetStatus","dbo.AktivitetStatus","7","","False",
